hiding_date_vc,hiding_blz,hiding_rider,finder_date_vc,finder_blz,finder_rider,lat_degr,lon_degr,loc_desc,city,prov ,,,,,,,,,,
06-09-2010,2/46,smoffler,07-09-2010,2/48,R1.Petje,51.510365,4.455106,"Molenbeekpad, Roosendaal, NB",Roosendaal,NB,,,,,,,,,,
07-09-2010,2/50,R1.Petje,08-09-2010,2/54,vuurbloed,51.554327,4.731717,"hekje Effenseweg 1, Breda, NB",Breda,NB,,,,,,,,,,
08-09-2010,2/55,vuurbloed,09-09-2010,2/57,Smuiger,52.39038,4.542377,"Mickey's cafe - Circuitpark, Zandvoort, NH",Zandvoort,NH,,,,,,,,,,
09-09-2010,2/57,Smuiger,10-09-2010,2/59,Bikermamma,52.783668,4.730574,"houten brug - Grote Sloot, St. Maartensbrug, NH",St.Maartensbrug,NH,,,,,,,,,,
10-09-2010,2/61,Bikermamma,10-09-2010,2/62,Grote Voet,52.579069,4.997782,"industrieterrein Westeinde, Oosthuizen, NH",Oosthuizen,NH,,,,,,,,,,
11-09-2010,2/63,Grote Voet,11-09-2010,2/64,Plexat,52.253059,5.164737,"infoschuur GNR - Naarderweg, Hilversum, Ut",Hilversum,Ut,,,,,,,,,,
11-09-2010,2/65,Plexat,11-09-2010,2/65,Grote Voet,52.19776,5.435776,"Hindelooperkade, Amersfoort, Ut",Amersfoort,Ut,,,,,,,,,,
11-09-2010,2/66,Grote Voet,12-09-2010,2/67,DutchKingKong,52.048296,5.558226,"Nieuweweg Noord, Veendendaal, Ge",Veenendaal,Ge,,,,,,,,,,
12-09-2010,2/67,DutchKingKong,12-09-2010,2/67,Bensi,52.035796,6.09043,"Zutphensestraatweg, Ellecom, Ge",Ellecom,Ge,,,,,,,,,,
12-09-2010,2/68,Bensi,13-09-2010,2/70,BrouwerER6N,52.108067,6.491249,"brug Zwarteweg, Hall, Ge",Borculo,Ge,,,,,,,,,,
14-09-2010,2/71,BrouwerER6N,14-09-2010,2/72,J-oram,51.8455,6.16605,"Spijksedijk, Spijk, Ge",Spijk,Ge,,,,,,,,,,
,,,,,italbike,,,,,,,,,,,,,,,
15-09-2010,2/73,J-oram,15-09-2010,2/74,Bensi,51.92765,6.1126,"onder brug - de Braak, Zevenaar, Ge",Zevenaar,Ge,,,,,,,,,,
,,italbike,,,,,,,,,,,,,,,,,,
16-09-2010,2/75,Bensi,16-09-2010,2/75,Dirtbag,52.354247,6.434909,"schuilhut Nijverdalsebergweg, Nijverdal, Ov",Nijverdal,Ov,,,,,,,,,,
16-09-2010,2/77,Dirtbag,16-09-2010,2/78,Ted,52.186667,6.160617,"ruïne Nijenbeek - Nijenbeekseweg, Voorst, Ge",Voorst,Ge,,,,,,,,,,
17-09-2010,2/80,Ted,18-09-2010,,MIA,"50,758172",5.683483,"Meethuisje bij Schansweg, Eijsden, Li",Eijsden,Li,,,,,,,,,,
20-09-2010,2/90,vuurbloed,20-09-2010,2/92,beeldhouwer,52.296505,4.682215,"politiebureau Hoofdweg, Hoofddorp, NH",Hoofddorp,NH,,,,,,,,,,
21-09-2010,2/93,beeldhouwer,21-09-2010,2/95,ninanoob,52.41984,4.827086,"pont Hemkade, Zaandam, NH",Zaandam,NH,,,,,,,,,,
21-09-2010,2/97,ninanoob,21-09-2010,2/97,Ukkie,52.338119,5.138083,"slagboom IJmeerdijk, Almere, Fl",Almere,Fl,,,,,,,,,,
22-09-2010,2/99,Ukkie,22-09-2010,2/100,V-Strommert,52.324842,4.890139,"kunstwerk Boshuizenstraat, Amsterdam, NH",Amsterdam,NH,,,,,,,,,,
22-09-2010,3/1,V-Strommert,22-09-2010,3/2,Dirk130,52.122034,4.294721,"Zwartepad, Scheveningen, ZH",Scheveningen,ZH,,,,,,,,,,
23-09-2010,3/5,Dirk130,23-09-2010,3/5,tdemmer,52.122034,4.294721,"overgegeven door ongeluk, , ZH",Den Haag,ZH,,,,,,,,,,
23-09-2010,3/6,tdemmer,24-09-2010,3/7,oehTie,51.678496,4.138112,", Brouwersdam, Ze",Brouwersdam,Ze,,,,,,,,,,
24-09-2010,3/7,oehTie,24-09-2010,3/9,Dennisik,51.928242,4.260351,"Parallelweg, Maassluis, ZH",Maassluis,ZH,,,,,,,,,,
24-09-2010,3/9,Dennisik,24-09-2010,3/10,tdemmer,51.96529,4.45484,"Doenkade, Landscheiding, ZH",Landscheiding,ZH,,,,,,,,,,
24-09-2010,3/10,tdemmer,25-09-2010,3/11,Knaakie,51.953751,4.644594,"Groenedijk 129, Nieuwerkerk, ZH",Nieuwerkerk a/d IJssel,ZH,,,,,,,,,,
25-09-2010,3/12,Knaakie,25-09-2010,3/12,El Rojo,52.037577,5.14437,"Ijsbaan, Houten, Ut",Houten,Ut,,,,,,,,,,
26-09-2010,3/13,El Rojo,26-09-2010,3/14,Wimis on,52.049429,5.327068,"Broekweg, Doorn, Ut",Doorn,Ut,,,,,,,,,,
26-09-2010,3/16,Wimis on,26-09-2010,3/17,BaRRt,52.044832,5.414393,"paaltje Scherpenzeelseweg, Maarsbergen, Ut",Maarsbergen,Ut,,,,,,,,,,
27-09-2010,3/18,BaRRt,27-09-2010,3/19,Wimis on,52.175958,5.198727,"camping Karnemelksweg, Hollandse Rading, Ut",Hollandse Rading,Ut,,,,,,,,,,
28-09-2010,3/21,Wimis on,28-09-2010,3/23,*Jet*,52.402925,5.340733,"Trekweg langs kanaal, Almere, Fl",Almere,Fl,,,,,,,,,,
29-09-2010,3/25,*Jet*,29-09-2010,3/26,Smuiger,52.714183,5.287398,"sprookjesland, Purmerend, NH",Purmerend,NH,,,,,,,,,,
